Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,36-1058-ND,COIN CELL HLDR 20MM 2025/2032,,0,1,1.79000,1.79,
2,10,490-1691-1-ND,CAP CER 1UF 16V X7R 0805,,10,0,0.14300,1.43,
3,10,1276-2720-1-ND,CAP CER 10UF 25V X5R 1206,,10,0,0.19800,1.98,
4,4,XC1195CT-ND,CRYSTAL 32.7680KHZ 12.5PF SMD,,4,0,0.56000,2.24,
5,10,1276-1120-1-ND,CAP CER 12PF 50V C0G/NP0 0805,,10,0,0.05500,0.55,
6,2,399-16723-1-ND,CAP CER 1206 6.8NF 1000V X7R 10%,,2,0,0.40000,0.80,
7,2,BZT52C15-FDICT-ND,DIODE ZENER 15V 500MW SOD123,,2,0,0.24000,0.48,
8,3,160-1456-1-ND,LED GREEN CLEAR 1206 SMD,,3,0,0.34000,1.02,
9,5,507-1805-1-ND,PTC RESET FUSE 16V 750MA 1206,,5,0,0.20000,1.00,
10,10,RR08P1.0KDCT-ND,RES SMD 1K OHM 0.5% 1/16W 0603,,10,0,0.09800,0.98,
11,10,311-2.20KCRCT-ND,RES SMD 2.2K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
12,10,RR08P100KDCT-ND,RES SMD 100K OHM 0.5% 1/16W 0603,,10,0,0.09800,0.98,
13,10,RR12P10.0KDCT-ND,RES SMD 10K OHM 0.5% 1/10W 0805,,10,0,0.09800,0.98,
14,1,RFM95W-915S2-ND,LORA TRX MODULE +20DBM/-139DBM 3,,1,0,14.11000,14.11,
15,1,672-1002-1-ND,IC RECEIVER GPS/GNSS 18LCC,,1,0,23.50000,23.50,
16,2,151-1206-1-ND,CONN MINI USB RCPT RA TYPE B SMD,,2,0,0.54000,1.08,
17,1,732-3819-1-ND,CONN MICRO SD CARD PUSH-PUSH R/A,,1,0,2.92000,2.92,
18,1,CONSMA001-SMD-G-ND,CONN SMA RCPT STR 50 OHM SMD,,1,0,2.86000,2.86,
19,1,296-24897-1-ND,IC REG LINEAR 3.3V 1.5A SOT223-4,,1,0,2.94000,2.94,
20,2,ATSAMD21G18A-AU-ND,IC MCU 32BIT 256KB FLASH 48TQFP,,2,0,3.15000,6.30,
21,2,MCP73831T-2ACI/OTCT-ND,IC CONTROLLR LI-ION 4.2V SOT23-5,,2,0,0.58000,1.16,
22,1,DS3231S#T&RCT-ND,IC RTC CLK/CALENDAR I2C 16-SOIC,,1,0,8.68000,8.68,
23,1,MPL115A2-ND,IC BAROMETER I2C DGTL MINI 8LGA,,1,0,6.70000,6.70,
24,1,828-1058-1-ND,IMU ACCEL/GYRO/MAG I2C 28LGA,,1,0,12.07000,12.07,
